Poem,Meaning
"Someone enters: That alonemakes me speak.When you lived, I spoke to you.We are transitive.I never dream of speech:I either speak or don’t.And now that I knowwhere you will not be—I do not go there.","Loss and the inability to connect profoundly shape existence, driving a retreat from painful reminders of a vanished relationship."
"You can see the face of everything, and it is white—plaster, nightmare, adobe, anemia, cold—turned to the east. Oh closeness to life!Hardness of life! Like somethingin the body that is animal—root, slag-ends—with the soul still not set well there—and mineral and vegetable!Sun standing stiffly against man,against the sow, the cabbages, the mud wall!—False joy, because you are merelyin time, as they say, and not in the soul!   The entire sky taken up   by moist and steaming heaps,a horizon of dung piles.   Sour remains, here and there,   of the night. Slicesof the green moon, half-eaten,crystal bits from false stars,plaster, the paper ripped off, still faintlysky-blue. The birdsnot really awake yet, in the raw moon,streetlight nearly out.   Mob of beings and things!—A true sadness, because you are really deepin the soul, as they say, not in time at all!",A profound sense of alienation and despair arises from a futile existence trapped within the cyclical nature of time and material reality.
"We said she was a negative image of me because of her lightness.She's light and also passage, the glory in my cortex.Daughter, where did you get all that goddess?Her eyes are Neruda's two dark pools at twilight.Sometimes she's a stranger in my home because I hadn't imagined her.Who will her daughter be?She and I are the gradual ebb of my mother's darkness.I unfurl the ribbon of her life, and it's a smooth long hallway, doors flung open.Her surface is a deflection is why.Harm on her, harm on us all.Inside her, my grit and timbre, my reckless.","This poem explores inherited identity—a complex acceptance of a daughter’s luminescence as an integral, even vital, part of the speaker's being."
"I have met them in dark alleys, limping and one-armed;   I have seen them playing cards under a single light-bulb   and tried to join in, but they refused me rudely,   knowing I would only let them win.   I have seen them in the foyers of theaters,   coming back late from the interval   long after the others have taken their seats,   and in deserted shopping malls late at night,   peering at things they can never buy,   and I have found them wandering   in a wood where I too have wandered.   This morning I caught one;   small and stupid, too slow to get away,   it was only a promise I had made to myself once   and then forgot, but it screamed and kicked at me   and ran to join the others, who looked at me with reproach   in their long, sad faces.When I drew near them, they scurried away,   even though they will sleep in my yard tonight.   I hate them for their ingratitude,   I who have kept countless promises,   as dead now as Shakespeare’s children.   “You bastards,” I scream,   “you have to love me—I gave you life!”",A desperate plea for recognition and reciprocation reveals a profound loneliness born from futile attempts to nurture and be cherished.
"I. The Day DreamersAll day all over the city every personWanders a different city, sealed intactAnd haunted as the abandoned subway stations   Under the city. Where is my alley doorway?Stone gable, brick escarpment, cliffs of crystal.   Where is my terraced street above the harbor,   Café and hidden workshop, house of love?Webbed vault, tiled blackness. Where is my park, the pathThrough conifers, my iron bench, a shiver   Of ivy and margin birch above the traffic?   A voice. There is a mountain and a woodBetween us—","Lost in fragmented memories, the speaker searches for a cherished, idealized past, ultimately unable to find it within reality."
"My own heart let me more have pity on; letMe live to my sad self hereafter kind,Charitable; not live this tormented mindWith this tormented mind tormenting yet.I cast for comfort I can no more getBy groping round my comfortless, than blindEyes in their dark can day or thirst can findThirst's all-in-all in all a world of wet.Soul, self; come, poor Jackself, I do adviseYou, jaded, let be; call off thoughts awhileElsewhere; leave comfort root-room; let joy sizeAt God knows when to God knows what; whose smile's not wrung, see you; unforeseen times rather — as skiesBetweenpie mountains — lights a lovely mile.","Despair compels self-compassion and acceptance of suffering, urging retreat from torment towards an unknowable, yet hopeful, peace."
"—at Apollo Hospital, DhakaLet me break                            free of these lace-frail                            lilac fingers disrobingthe black sky                            from the windows of this                            room, I sit helpless, waiting,silent—sister,                            because you drew from me                            the coil of red twine: loneliness—spooled inside—                            once, I wanted to say one                            true thing, as in, I want morein this","A profound sense of isolation and surrender emerges, grappling with loss and a desperate yearning for authentic connection."
"for Spalding GrayThe West and North winds both lover us, wanting, bitter,to bring us in close in the small hold.Tongues loll and laze, while the flapand snapping above: crazy wanderlust.The basin must cradle, keep her passengers,though the hero abandoned the ferry for the real sea.Is nothing worthy?        Wallet on bench. Wallet at home. Wallet at rest.The child, even his cries, must the ship balance,makes me wild to right this unhumanly keeling.I have six arms, am the dismembered figurehead,ballast, breasts covered in blue scales.I am at rudder, at bow, at mast, at rigging,at deck, at halyard, at stern, when the holdexplodes with screaming.One boy has stolen the other’s marble. The boat shifts, tilts.A wallet washes up against us.Is this what you meant when you said a family steadied you?Is this what they see when they see me and my six handless arms,shining torso and cuspid humor?The figurehead has no need for eyelids, muston-guard, vigil, dry eyed.But she dreams. Dreams.The sail, its fine apparel, its linen long-shadow: a tiny handopening, budlike",A desperate yearning for connection and stability clashes with profound isolation and the destructive nature of unresolved grief.
"Behind the Fauverie a crawl of quayside trafficwhile Aramis roars for his food, the airturbulent as he opens his jaws in a hugeyawn. If I hold my breath, half-close my eyesand listen hard — there at the tongue’s root,in the voicebox of night, I might hearthe almost-vanished. He’s summoning his prey,this lord of thunderbolts, calling to ghostsof the Lost World, with this evening chantto scarlet macaw, tapir, golden lion tamarin.Until everything goes slow and the rush-hourqueue of scale-to-scale cars is one giant caimanbasking on the bank. The jaguar’s allswimming stealth now — no sound — a stalkercamouflaged by floating hyacinths, sensestuned only to the reptile of the road. Then, withone bound, spray scatters like glass, as Aramislands on the brute’s back and bites its neck.","A desperate, primal yearning for a lost wilderness persists through instinctual action against an increasingly artificial world."
"Both lying on our sides, making love inspoon position when she’s startled, What’s that?She means the enormous ship passing before you—maybe not that large, is it a freighter or a passenger ship? But it seems huge in the darkand it’s so close. That’s a poem you say, D. H.Lawrence—Have you built your ship of death,have you? O build your ship of death, for you will need it. Right here it would be goodif there were a small orchestra on board, you’d hearthem and say to her, That piece is called Autumn, that’s what the brave musicians played as the Titanicwent under—and then you could name this poem “Autumn.”But no, the ship is silent, its white lights glow in the darkness.","The poem explores themes of impending doom, detachment, and a morbid fascination with mortality symbolized by a looming vessel."
"Mary Magdalene                                        Virgin Mother                                                                Mary, Sister of Martha","This work explores shifting religious narratives and female agency, questioning established power structures through reimagined identities."
"The first line is a row of girls,twenty-five of them, almosta painting, shoulders overlapping,angled slightly toward you.One says: I’m myself here.The others shudder and laughthrough the ribbon core that stringsthem. They make a tone tighterby drumming on their thighs andopening their mouths. The girlsare cells. The girls are a fence,a fibrous network. One by onethey describe their grievances.Large hot malfunctioningmachines lie obediently at their sides.Their shirts are various shadesof ease in the surrounding air,which is littered with small cuts.One will choose you, press youinto the ground. You may neverrecover. The second-to-last linehas a fold in it. The last line isthe steady pour of their names.","Collective experience creates an inescapable, fragile bond—a potent and potentially destructive force shaping individual identities and desires."
"The spine is a slide of human marvels; it is a hierarchy of white florets; it is a cult of secret brothers; it is a deliberate list; so look how the spineless relax in their unblushing banality. I lose my patience in Greensboro where no discoveries are ever made and the only inner lavishment is the bar, occasionally. The spineless aspire to incessant interludes that never arrive anywhere and that can’t remember wherefrom they came. Mary is slightly spineless, for instance: her dress is cream her skin is cream her creamy mind is fine and her life will end finely—how sad is that to think of, the finery of a cream life? It is the saddest of all truths that can be read on a person’s face in a decorous garden that person has planted themselves and of which they are explaining to you the intricacies and expense: “notice how in the light”; “three pallets shipped last week”; “have complementary attitudes when it comes to soil-type and moisture.” She isn’t wicked; but, also, she destroys the art of her life.","The poem laments a stifled existence characterized by superficiality, meticulous control, and ultimately, unfulfilled potential and quiet despair."
"But then there comes that moment rareWhen, for no cause that I can find,The little voices of the airSound above all the sea and wind.The sea and wind do then obeyAnd sighing, sighing double notesOf double basses, content to playA droning chord for the little throats—The little throats that sing and riseUp into the light with lovely easeAnd a kind of magical, sweet surpriseTo hear and know themselves for these—For these little voices: the bee, the fly,The leaf that taps, the pod that breaks,The breeze on the grass-tops bending by,The shrill quick sound that the insect makes.","A profound connection emerges between humanity and the natural world, revealing a shared consciousness in creation’s subtle sounds."
"Now thou has loved me one whole day, Tomorrow when you leav’st, what wilt thou say? Wilt thou then antedate some new-made vow?             Or say that now We are not just those persons which we were? Or, that oaths made in reverential fear Of Love, and his wrath, any may forswear? Or, as true deaths true marriages untie, So lovers’ contracts, images of those, Bind but till sleep, death’s image, them unloose?             Or, your own end to justify, For having purposed change and falsehood, you Can have no way but falsehood to be true? Vain lunatic, against these ‘scapes I could             Dispute and conquer, if I would,             Which I abstain to do, For by tomorrow, I may think so too.","Fleeting love reveals the instability of promises and commitment, acknowledging a temporary bond before ultimate disillusionment or departure."
"For Arthur RussellAll that glitters isn’t music.Once, hidden in tall grass, I tossed fistfuls of dirt into the air:doe after doe of leaping. You said it was nothing but a trick of the light. Gold curves. Gold scarves. Am I not your animal?You’d wait in the orchard for hours to watch a deerbreak from the shadows.You said it was like lifting a cello out of its black case.","Fleeting beauty and perceived reality clash, revealing a yearning for authentic experience beyond superficial appearances and dismissive explanations."
"All that is uncared for.Left alone in the stillnessin that pure silence marriedto the stillness of nature.A door off its hinges,shade and shadows in an empty room.Leaks for light. Raw wherethe tin roof rusted through.The rustle of weeds in theirdifferent kinds of air in the mornings,year after year.A pecan tree, and the housemade out of mud bricks. Accurateand unexpected beauty, rattlingand singing. If not to the sun,then to nothing and to no one.","Resignation and acceptance bloom from decay; a solitary existence finds profound, albeit bleak, beauty within nature’s slow surrender."
"Two spiky-haired Russian cats hit kick flips on a vert ramp. The camera pans to anotherpocket of  the room where six kids rocking holeyT-shirts etch aerosol lines on warehouse wallsin words I cannot comprehend. All of thishappening in a time no older than your lastheartbeat. I’ve been told the internet isan unholy place — an endless intangiblestumbling ground of false deities dogma and loneliness, sad as a pile of shitin a world without flies. My loneliness exists in every afterthought. Yesterday, I watcheda neighbor braid intricate waves of cornrowsinto her son’s tiny head and could have lived in her focus-wrinkled brow for a living. TodayI think I practice the religion of  blinking too much.Today, I know no neighbor’s name and won’tknow if  I like it or not. O holy streaming screen of counterculture punks, linger my lit mindon landing strips — through fog, rain, hail — without care for time or density. O worldwide web, o viral video, o god of excrement thought. Befriend me. Be fucking infectious.Move my eyes from one sight to the next.","Disconnected existence and yearning for genuine connection amidst a chaotic, overwhelming digital landscape."
"Benny saidTo Ruby Lee,“M-A-R-R-Y M-E!”Ruby said,To Benny,“Ben, wouldn'tThat be F-U-N?”Benny said,“My Ruby Lee,We will W-E-DOnly if you let me K-I-S-S youEvery day!”","The poem explores a frustrating, conditional love where happiness hinges on constant physical intimacy and acceptance of an unequal proposal."
"Why and by whose power were you sent?What do you see that you may wish to steal?Why this dancing? Why do your dark bodiesDrink up all the light? What are you demandingThat we feel? Have you stolen something? ThenWhat is that leaping in your chest? What isThe nature of your mission? Do you seekTo offer a confession? Have you anything to doWith others brought by us to harm? ThenWhy are you afraid? And why do you invadeOur night, hands raised, eyes wide, muteAs ghosts? Is there something you wish to confess?Is this some enigmatic type of test? What if weFail? How and to whom do we address our appeal?","A desperate plea for explanation emerges—a haunting interrogation revealing a hidden terror and an unknown, demanding purpose."
"Tell me,Was Venus more beautifulThan you are,When she toppedThe crinkled waves,Drifting shorewardOn her plaited shell?Was Botticelli’s visionFairer than mine;And were the painted rosebuds   He tossed his ladyOf better worthThan the words I blow about youTo cover your too great loveliness   As with a gauzeOf misted silver?For me,You stand poisedIn the blue and buoyant air,Cinctured by bright winds,Treading the sunlight.And the waves which precede you   Ripple and stirThe sands at my feet.","Unwavering adoration seeks to capture an incomparable beauty, prioritizing a beloved’s radiant presence over idealized, artistic representations."
"Stronger than alcohol, more great than song,deep in whose reeds great elephants decay,I, an island, sail, and my shoes tosson a fragrant evening, fraught with sadnessbristling hate.It’s true, I weep too much. Dawns breakslow kisses on the eyelids of the sea,what other men sometimes have thought they’ve seen.And since then I’ve been bathing in the poemlifting her shadowy flowers up for me,and hurled by hurricanes to a birdless placethe waving flags, nor pass by prison shipsO let me burst, and I be lost at sea!and fall on my knees then, womanly.","Overwhelmed by intense emotion and disillusionment, the speaker seeks solace in art while battling profound sorrow and destructive longing."
"You see, they have no judgment.So it is natural that they should drown,first the ice taking them inand then, all winter, their wool scarvesfloating behind them as they sinkuntil at last they are quiet.And the pond lifts them in its manifold dark arms.But death must come to them differently,so close to the beginning.As though they had always beenblind and weightless. Thereforethe rest is dreamed, the lamp,the good white cloth that covered the table,their bodies.And yet they hear the names they usedlike lures slipping over the pond:What are you waiting forcome home, come home, lostin the waters, blue and permanent","Lost souls, without understanding, succumb to a silent, watery oblivion, forever yearning for a forgotten past and a sense of belonging."
"At the table, at the grave not knowing whether to grieve or celebrate, they seemed to find a way within the stalled noon clatter and the dusk over oily swamps and elder tangle along a locked stockade of heavy machines, as the blue heron, looking down, flew farther on. Nothing dissolved for them the mortal green and black in transparent power of spacious streams now gone from earth. The flickering they found, terror-hope-terror, in fire of sunset clouds remained unwavering in its progress to night and day and night. And yet the pleasure they took in everything did not wear out. The limestone quarry of a poorer century, lipped in birds and berries, treasured up, still treasures up, old rains beneath its surface of dusty jet— still waits behind their houses on airless nights to be the dreams and drownings of new children.",Persistent sorrow and fleeting joy intertwine with an acceptance of inevitable loss and the enduring promise of renewal within a decaying world.
"In the naked bed, in Plato’s cave,Reflected headlights slowly slid the wall,   Carpenters hammered under the shaded window,   Wind troubled the window curtains all night long,   A fleet of trucks strained uphill, grinding,   Their freights covered, as usual.The ceiling lightened again, the slanting diagram   Slid slowly forth.                            Hearing the milkman’s chop,   His striving up the stair, the bottle’s chink,   I rose from bed, lit a cigarette,And walked to the window. The stony street   Displayed the stillness in which buildings stand,   The street-lamp’s vigil and the horse’s patience.   The winter sky’s pure capitalTurned me back to bed with exhausted eyes.Strangeness grew in the motionless air. The loose   Film grayed. Shaking wagons, hooves’ waterfalls,   Sounded far off, increasing, louder and nearer.   A car coughed, starting. Morning, softly   Melting the air, lifted the half-covered chair   From underseas, kindled the looking-glass,   Distinguished the dresser and the white wall.   The bird called tentatively, whistled, called,   Bubbled and whistled, so! Perplexed, still wet   With sleep, affectionate, hungry and cold. So, so,   O son of man, the ignorant night, the travail   Of early morning, the mystery of beginning   Again and again,                         while History is unforgiven.","The poem explores the cyclical, disorienting nature of existence, marked by repetition and a persistent return to an unknowable origin."
"Noted to be the definitive bright morning of 10,000 calendars.The church bell melted.Rage of unrequited love became a terrible serpent.The morning star lowered like an enemy’s flag.A vampire’s mattress tumbled out at the outskirts of town.Ancient lanterns, suddenly thrown through the air,somewhere deep in the mountains.That night, in a snowy rural area, an elderly, powder-faced womanappeared on doorsteps in search of wine.Her origins, neatly wrapped in the cold dressing of a snowflake’s breath.","Lost love transforms into destructive obsession, culminating in surreal encounters and a desperate search for solace amidst decay and forgotten memories."
"We drove past late fall fields as flat and cold as sheets of tin and, in the distance, trees were tossed like coins against the sky. Stunned gold and bronze, oaks, maples stood in twos and threes: some copper bright, a few dull brown and, now and then, the shock of one so steeled with frostit glittered like a dime. The autumn boughs and blackened branches wore a somber glossthat whispered tails to me, not heads. I read memorial columns in their trunks; their leavesspelled UNUM, cent; and yours, the only head . . .  in penny profile, Lincoln-like (one sleeve,one eye) but even it was turning tails as russet leaves lay spent across the trails.","Loss and remembrance permeate the poem, depicting the fading beauty of autumn mirroring a solitary, diminishing connection to what is cherished."
"A quarter of a century since we left high school, and we’ve gathered at a posh restaurant. A little heavier, a little grayer, we look for the yearbook pictures caught inside these bodies of strangers. Some of our faces are etched with lines, the faint tracing of a lover’s touch, and some of our hair is silver-white, a breath of frost. And some of us are gone. But he’s here, the dark angel, everyone’s last lover, up at the microphone singing Save the last dance for me; he’s singing a cappella, the notes rising sweetly, yearningly toward the ceiling, which is now festooned with tissue flowers, paper streamers, balloons. And we’re all eighteen again, lines and wrinkles erased, gray hairs gone, our slim bodies back, the perfect editing. A saxophone keens its reedy insistence; scents of gardenias and tea roses float in the air from our wrist corsages and boutonnieres. No children or lovers have broken our hearts, it’s just all of us, together, in our fresh young skin, ready to do it all over again.","A poignant reflection on lost youth and the bittersweet longing for an unattainable past, prioritizing idealized memories over present realities."
"I know 'tis but a Dream, yet feel more anguishThan if 'twere Truth. It has been often so:Must I die under it? Is no one near?Will no one hear these stifled groans and wake me?",Unfulfilled longing generates deeper sorrow than accepting reality’s harshness; a desperate plea for connection and escape from torment.
"Australia. Phillip Island. The Tasman Sea. Dusk. The craggy coastline at low tide in fog. Two thousand tourists milling in the stands as one by one, and then in groups, the fairy penguins mass up on the sand like so much sea wrack and debris. And then, as on command, the improbable parade begins: all day they've been out fishing for their chicks, and now, somehow, they find them squawking in their burrows in the dunes, one by one, two by two, such comical solemnity, as wobbling by they catch our eager eyes until we're squawking, too, in English, French, and Japanese, Yiddish and Swahili, like some happy wedding party brought to tears   by whatever in the ceremony repairs the rifts between us. The rain stops. The fog lifts. Stars. And we go home, less hungry, satisfied, to friends and family, regurgitating all we've heard and seen.","Shared wonder momentarily bridges cultural divides through the simple, profound spectacle of returning fairy penguins."
The pastwill overtake   alien force   our house   formedof my mind   to enterexplorerin a forest   of myselffor allmy learning   Solitudequietand quieter   fringeof treesby a riverbridges black   on the deep   the heaving sea   a watcher standsto see her ship   winging away   Thick noisesmerge in moonlight   dark ripples   dissolvinganddefiningspheresandsnares             Place of importance as in the old daysstood on the ramparts of the fort                                                 the open sea outside   alone with water-birds and cattle                        knee-deep in a streamgrove of reeds               herons watching from the bankhenges      whole fields honeycombed with souterrains   human                        bones through the gloom       whose sudden mouthsurrounded my face                      a thread of blue around the coast                                                            feathery moon   eternity swallows up time                                     peaceable as foam                        O cabbage gardenssummer’s elegy                        sunset survived,"Loss and remembrance permeate this evocative meditation, suggesting an inescapable return to origins within a solitary, haunting interior landscape."
"To pull the metal splinter from my palmmy father recited a story in a low voice.I watched his lovely face and not the blade.Before the story ended, he’d removedthe iron sliver I thought I’d die from.I can’t remember the tale,but hear his voice still, a wellof dark water, a prayer.And I recall his hands,two measures of tendernesshe laid against my face,the flames of disciplinehe raised above my head.Had you entered that afternoonyou would have thought you saw a manplanting something in a boy’s palm,a silver tear, a tiny flame.Had you followed that boyyou would have arrived here,where I bend over my wife’s right hand.Look how I shave her thumbnail downso carefully she feels no pain.Watch as I lift the splinter out.I was seven when my fathertook my hand like this,and I did not hold that shardbetween my fingers and think,Metal that will bury me,christen it Little Assassin,Ore Going Deep for My Heart.And I did not lift up my wound and cry,Death visited here!I did what a child doeswhen he’s given something to keep.I kissed my father.","The poem explores the enduring power of love and protection, revealing how a seemingly frightening experience fostered lifelong care and quiet devotion."
"The big doll being broken and the sawdust fallall scattered by my shoes, not cryingI sit in my dark to discover o failure annulledopens out in my hands a purse of goldensalvaged sovereigns, from floors of seas culled.The dancing doll split in an anguish and allthe cords of its elegant limbs unstrung; Istumble whistling; the bones of my skullmarvelously start to sing, the whole shellof myself invents without peril and contains a court aubade.I hid the dovesmall doll but something found it. FrightenedI gave the fire what was left. Surrounding, it mulleddulcet over the melting jeweled two blue eyes.That night our hearth was desolate, but then its stonessprung flowered and the soaring rafters arched.Now all the house laughs, the sun shouts out clearly: dawn!the sea owes us all its treasures; under the soft the riotousexplosion of our waking kiss or gift, a stone plucked or shornfree of gravity falls upward for us, slow, and lies there, quietly.","Loss transforms into unexpected joy, revealing hidden wealth and inherent beauty within oneself through acceptance and surrender."
"Does no dishes, dribbles sauce across the floor. Is more dragon than spaniel, more flammable than fluid. Is the loosening in the knit of me, the mixed-fruit marmalade in the kitchen of me. Wakes my disco and inner hibiscus, the Hector in the ever-mess of my Troy. All wet mattress to my analysis,he’s stayed the loudest and longestof any houseguest, is calling now as I write this, tiny B who brings the joy.","Unrestrained chaos and vibrant self-expression ultimately define a passionate, messy, and deeply loved presence within the speaker's life."
"This timeless blood was here before begat.     Infinity runs in your veins—        Not mine, nor yours,             Nor Eve’s, not Adam’s—                  Gat of God,                       And spinning like taffy Godwards back again.Sapped through the centuries to us—     Grafting a limb there for the Jesse tree—        Remultiplied infinitely,             From heart to heart tick-pulsed,                  Ill clad, ill fed, ill fit—                       Here, child, do what you can with it.Originally appeared in the July 1968 issue of Poetry magazine.","An ancient, boundless lineage flows through humanity, a persistent and ultimately unmanageable divine inheritance offered without purpose or direction."
"I saw the racer coming to the jump,     Staring with fiery eyeballs as he rusht,I heard the blood within his body thump,     I saw him launch, I heard the toppings crusht.And as he landed I beheld his soul     Kindle, because, in front, he saw the StraightWith all its thousands roaring at the goal,     He laughed, he took the moment for his mate.Would that the passionate moods on which we ride     Might kindle thus to oneness with the will;Would we might see the end to which we stride,     And feel, not strain in struggle, only thrill,And laugh like him and know in all our nervesBeauty, the spirit, scattering dust and turves.",Embracing a grand vision of purpose transforms individual striving into joyful connection and acceptance of life's ultimate destination.
"All you have to do is listen to the way a mansometimes talks to his wife at a table of peopleand notice how intent he is on making his pointeven though her lower lip is beginning to quiver,and you will know why the women in sciencefiction movies who inhabit a planet of their ownare not pictured making a salad or reading a magazinewhen the men from earth arrive in their rocket,why they are always standing in a semicirclewith their arms folded, their bare legs set apart,their breasts protected by hard metal disks.","The poem explores the ingrained power dynamics and unspoken anxieties within relationships, projecting onto imagined alien women defensive postures of control."
"Hair–braided chestnut,coiled like a lyncher’s rope,Eye–fagots,Lips–old scars, or the first red blisters,Breath–the last sweet scent of cane,And her slim body, white as the ash         of black flesh after flame.","A haunting lament for lost innocence and suffering, depicting enduring trauma shaped by violence and racial injustice."
"Others, I am not the first, Have willed more mischief than they durst: If in the breathless night I too Shiver now, 'tis nothing new. More than I, if truth were told, Have stood and sweated hot and cold, And through their reins in ice and fire Fear contended with desire. Agued once like me were they, But I like them shall win my way Lastly to the bed of mould Where there's neither heat nor cold. But from my grave across my brow Plays no wind of healing now, And fire and ice within me fight Beneath the suffocating night.","Persistent, inescapable torment stems from past transgressions, mirroring a cyclical descent into unbearable suffering and final stillness."
"I laid the strewings, darling, on thine urn; I lowered the torch, I poured the cup to Dis. Now hushaby, my little child, and learn Long sleep how good it is. In vain thy mother prays, wayfaring hence, Peace to her heart, where only heartaches dwell; But thou more blest, O mild intelligence! Forget her, and Farewell.","Acceptance of loss and the promise of a serene, unburdened future through oblivion for the beloved departed."
"The grey sky, lighter & darkergreys,            lights between & delicate            lavenders alsoblue-greys in smaller strokes,                                                      & swashesof mauve-grey on the Hudson—                                                           openingsof light to the blue oblongoff-center                   where the door to the warehouseshows—                the larger smearings darkening                                                                          deepinto blues                             So alight that sky,                             late August,early evening,                             I had togasp at it,                   stand there hardly movingto breathe it,       usingwhatever my body gave me,                                                    atthat moment       attending to it,thinking:                  Turner, he should haveseen it,              he would have given itback to us,                     not let it die away                                                                       And that otherevening, walking down Bank Street from marketing,the sky fiery over the river,                                                  luminous buthot in its flowering also,                                              rich in coloras Venice seen by Guardi—more aflame even,the sky moving in a pulse,                                                its fire breathingin a pulse verging on danger—mane of a lionessaffronted.                         That brilliance—the eye of the lionfilled to the lids withflame                  And his eyes, Turner's, that bright grey eyeat seventy-six,                           ""brilliant asthe eye of a child""                                 who grew his thumbnailin the shape of an eagle's claw,                                                          the betterto use it in painting                                     In Kirby Lonsdale, Yorkshire,where Turner first drew mountain-landscapes,                                      I found Blake's Marriageof Heaven and Hell","The poem explores the profound beauty of fleeting moments in nature, urging us to fully embrace and preserve their irreplaceable wonder."
"than we dowhen it’s all wound down. I don’t know why we settleto the sound.Somehowthe regularclick and chimeof passing time,like water, turnsa water wheelthat turns a gearthat turns a stonethat turns upon another stoneand fine and finer in betweenour dreams like grainare ground.","Life's relentless march reduces experiences to monotonous echoes, ultimately grinding our aspirations into insignificant fragments of memory."
"Dogs so long with us we forgetthat wolves allowed as howthey might be tamed and sprang upall over the globe, with all humans,all at once, like a good idea. So we tamed our own hearts.Leashed them or sent them to camp’s edge.Even the shrinks once agreed, in dreamsour dogs are our deepest selves. Ur Dog, a Siberian, doggedthe heels of nomads,then turned south to Egyptto keep Pharaoh safe. Seemed strange, my mother sighed,when finally we got a hound,. . . a house without a dog.  Her world never knewa yard un-dogged and thusunlocked. Sudden intrusionsimpossible where yappers yap. Or maybe she objectedto empty armchairs,rooms too quietwithout the beatof tail thump or paw thud. N’de, Ojibwe say, my pet, which also suggests ode, that spot in the chest,the part you point to when you pray,or say with great feeling—great meaning,meaning dog-love goes that deep.",The poem explores how humanity's connection with dogs reflects a fundamental domestication of inner emotions and desires.
"IWhy should a foolish marriage vow, Which long ago was made,Oblige us to each other now, When passion is decayed?We loved, and we loved, as long as we could, Till our love was loved out in us both;But our marriage is dead, when the pleasure is fled:’Twas pleasure first made it an oath.              IIIf I have pleasures for a friend, And further love in store,What wrong has he, whose joys did end, And who could give no more?’Tis a madness that he should be jealous of me,Or that I should bar him of another:For all we can gain, is to give ourselves pain, When neither can hinder the other.","The poem explores the ultimately futile nature of marriage based solely on passion, destined for dissolution when feelings diminish."
"The sun is still burning in my skin even though it set half-an-hour ago, and Cindy and Bob and Bev and John are pulling on their sweatshirts and gathering around the fire pit. John hands me a cold one and now Bev comes into my arms and I can feel the sun’s heat, and taste the Pacific on her cheek. I am not in Vietnam, nor is John or Bob, because our deferments came through, and we get to remain boys for at least another summer like this one in Santa Cruz, surfing the afternoons in a sweet blue dream I’m remembering now, as the nurse puts my cheek to sleep, and the doctor begins to burn those summers away.",Fleeting youth and cherished memories of carefree summer days are tragically juxtaposed with the looming reality of returning to war.
"Her sense of smell is ten times stronger.   And so her husband smells funny;    she rolls away from him in the bed.   She even smells funny to herself,   but cannot roll away from that.   Why couldn’t she get a more useful superpower?   Like the ability to turn invisible, or fly?   The refrigerator laughs at her from its dark corner,   knowing she will have to open it some time   and surrender to its villainous odors.","This poignant reflection explores the isolating nature of heightened senses and the frustration of an unwanted, burdensome gift."
"Dawn on the black hill, and up on the roofcats drowsing. Last night, there was a boywho fell off this roof, breaking his back.The wind riffles the cool leaves of the trees.The red clouds above are warm and move slowly.A stray dog appears in the alley below, sniffingthe boy on the cobblestones, and a raw wailrises up among chimneys: someone’s unhappy.The crickets were singing all night, and the starswere blown out by the wind. In dawn’s glow,even the eyes of the cats in love were extinguished,the cats the boy watched. The female is crying,no toms are around and nothing can soothe her:not the tops of the trees, not the red clouds.She cries to the wide sky, as if it were still night.The boy was spying on cats making love.The stray dog sniffs the boy’s body and growls;he got here at dawn, fleeing the glowthat crept down the far hill. Swimming the riverthat drenched him as dew drenches fields,he was finally caught by the light. The bitcheswere still howling.                           The river runs smoothly,skimmed by birds that drop from red clouds,elated to find their river deserted.","Loss and sorrow permeate the scene, revealing a profound sense of grief stemming from an irreversible tragedy and unanswered pleas for solace."
"My mother saw the green tree toadon the window sillher first onesince she was young.We saw it breatheand swell up round.My youth is no sure signI’ll find this kind of thingtho it does sing.Let’s take it inI said so grandmother can seebut she could notit changed to brownand townchanged us, too.","Fleeting beauty and remembrance confront the loss of innocence and youthful optimism, underscored by the inevitable passage of time."
"107I have always been the way I ameven when I wasn't the way I amand none can ever know the way I ambecause I am not merely the way I am                 122Him or someone else, what's it to meif every time I'm lonely afterward?Alone here with my moribility . . .if there only were such a lovely word . . .                 124These hemorrhoids, this bleeding from behind . . .I'm spilling out of all my holes—yes, all.My ass is wrecked . . . (My speech is so refined . . .)There ought to be a plumber I could call.                 154You want to die with me, you dumb shit?Excavate my heart with your shovel?This is getting to be a hell of a habit.Want me to swear on my knees? Grovel?","A desperate struggle for authentic selfhood clashes with profound pain and disillusionment, ultimately revealing a yearning for escape."
"They had hit Rubenwith the high beams, had blindedhim so that the vanhe was driving, full of Mexicansgoing to pick tomatoes,would have to stop. Ruben spunthe van into an irrigation ditch,spun the five-year-old me awaketo immigration officers,their batons already out,already looking for the soft spots on the body,to my mother being handcuffedand dragged to a van, to my fathertrying to show them our green cards.They let us go. But Alvarowas going back.So was his brother Fernando.So was their sister Sonia. Their motherdid not escape,and so was going back. Their fatherwas somewhere in the field,and was free. There were no great truthsrevealed to me then. No wisdomgiven to me by anyone. I was a childwho had seen what a piece of polished woodcould do to a face, who had seen his fatherabout to lose the one he loved, who had lostsome friends who would never return,who, later that morning, bentto the earth and went to work.",The poem explores the devastating impact of racial profiling and systemic injustice on a family’s identity and future.
